,P8MEA,URN,LA,ESTAB_x,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSM,NUMFSMEVER,PNUMFSMEVER,RECTYPE,ALPHAIND,LEA,BPUP,PBPUP,GPUP,PGPUP,KS2APS,TPRIORLO,PTPRIORLO,TPRIORAV,PTPRIORAV,TPRIORHI,PTPRIORHI,TFSM6CLA1A,PTFSM6CLA1A,ATT8SCR,P8PUP,P8MEACOV,P8PUP_FSM6CLA1A,P8MEA_FSM6CLA1A,P8PUP_NFSM6CLA1A,P8MEA_NFSM6CLA1A,ATT8SCR_LO,P8PUP_LO,P8MEA_LO,ATT8SCR_AV,P8PUP_AV,P8MEA_AV,ATT8SCR_HI,P8PUP_HI,P8MEA_HI,ATT8SCR_GIRLS,P8PUP_GIRLS,P8MEA_GIRLS,ATT8SCR_BOYS,P8PUP_BOYS,P8MEA_BOYS,Gender_BOYS,Gender_GIRLS,AdmitPol_COMP,AdmitPol_MOD,AdmitPol_SEL,Faith_school_Christian,Faith_school_Church of England,Faith_school_Church of England/Christian,Faith_school_Church of England/Roman Catholic,Faith_school_Jewish,Faith_school_Muslim,Faith_school_Roman Catholic,Faith_school_Roman Catholic/Church of England,Faith_school_Sikh,School_type_ACC,School_type_ACCS,School_type_ACS,School_type_CTC,School_type_CY,School_type_CYS,School_type_F,School_type_FD,School_type_FDS,School_type_FS,School_type_FSS,School_type_FUTC,School_type_NMSS,School_type_VA,School_type_VC
833,-0.57,104696.0,341,4425.0,1136.0,524.0,612.0,46.1,53.9,22.0,1.9,217.0,19.1,134.0,993.0,9.0,11.8,87.4,0.8,58.3,674.0,70.4,1,7690.0,341.0,98.0,53.0,87.0,47.0,26.3,45.0,25.0,100.0,56.0,34.0,19.0,111.0,60.0,41.7,179.0,97.0,107.0,-0.8,72.0,-0.23,23.0,45.0,-0.77,44.2,100.0,-0.49,58.2,34.0,-0.55,43.6,86.0,-0.55,40.1,93.0,-0.59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
834,-0.39,104698.0,341,4427.0,1433.0,512.0,921.0,35.7,64.3,5.0,0.3,185.0,12.9,280.0,1150.0,3.0,19.5,80.3,0.2,18.0,415.0,33.7,1,9074.0,341.0,158.0,66.0,83.0,34.0,27.1,45.0,19.0,118.0,51.0,68.0,29.0,83.0,34.0,46.2,231.0,96.0,79.0,-0.75,152.0,-0.2,22.6,45.0,-0.7,44.9,118.0,-0.45,63.0,68.0,-0.07,46.7,82.0,-0.42,45.9,149.0,-0.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
835,-0.58,104700.0,341,4429.0,1136.0,499.0,637.0,43.9,56.1,8.0,0.7,224.0,19.7,24.0,1111.0,1.0,2.1,97.8,0.1,34.1,521.0,52.0,1,19804.0,341.0,126.0,57.0,95.0,43.0,26.4,56.0,26.0,116.0,53.0,45.0,21.0,102.0,46.0,41.7,217.0,98.0,98.0,-0.95,119.0,-0.28,26.7,56.0,-0.52,43.4,116.0,-0.55,56.0,45.0,-0.72,42.9,93.0,-0.59,40.7,124.0,-0.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
837,-0.02,104705.0,341,4781.0,938.0,910.0,28.0,97.0,3.0,5.0,0.5,55.0,5.9,153.0,779.0,6.0,16.3,83.0,0.6,16.2,205.0,29.3,1,2168.0,341.0,0.0,0.0,137.0,100.0,28.5,14.0,11.0,61.0,47.0,56.0,43.0,48.0,35.0,54.3,131.0,96.0,45.0,-0.17,86.0,0.05,27.9,14.0,-0.38,49.7,61.0,0.02,64.9,56.0,0.02,54.3,131.0,-0.02,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
838,-0.32,104706.0,341,4782.0,891.0,626.0,265.0,70.3,29.7,1.0,0.1,237.0,26.6,103.0,788.0,0.0,11.6,88.4,0.0,32.0,455.0,62.5,1,37398.0,341.0,0.0,0.0,110.0,100.0,26.8,19.0,19.0,60.0,59.0,22.0,22.0,84.0,76.0,45.1,101.0,92.0,82.0,-0.48,19.0,0.39,26.6,19.0,-0.5,44.6,60.0,-0.36,63.7,22.0,-0.03,45.1,101.0,-0.32,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
839,0.0,138183.0,341,4787.0,901.0,888.0,13.0,98.6,1.4,1.0,0.1,66.0,7.3,124.0,777.0,0.0,13.8,86.2,0.0,32.5,336.0,45.5,1,4662.0,341.0,0.0,0.0,141.0,100.0,27.7,22.0,16.0,71.0,52.0,44.0,32.0,50.0,35.0,51.3,137.0,97.0,48.0,-0.27,89.0,0.14,34.5,22.0,0.02,49.2,71.0,0.06,62.5,44.0,-0.1,51.3,137.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,-0.28,104712.0,341,4790.0,952.0,949.0,3.0,99.7,0.3,2.0,0.2,83.0,8.7,31.0,921.0,0.0,3.3,96.7,0.0,15.6,266.0,33.3,1,48456.0,341.0,0.0,0.0,144.0,100.0,27.8,15.0,11.0,90.0,64.0,36.0,26.0,41.0,28.0,48.3,141.0,98.0,41.0,-0.52,100.0,-0.18,31.6,15.0,-0.23,47.0,90.0,-0.19,59.7,36.0,-0.52,48.3,141.0,-0.28,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
841,-0.3,104713.0,341,4792.0,1237.0,1235.0,2.0,99.8,0.2,4.0,0.3,119.0,9.6,54.0,1183.0,0.0,4.4,95.6,0.0,21.8,359.0,35.4,1,8206.0,341.0,0.0,0.0,198.0,100.0,28.5,20.0,10.0,98.0,50.0,77.0,39.0,52.0,26.0,50.5,195.0,98.0,51.0,-0.76,144.0,-0.13,25.8,20.0,-0.56,46.2,98.0,-0.3,62.7,77.0,-0.23,50.5,195.0,-0.3,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
842,-0.23,104714.0,341,4793.0,1306.0,6.0,1300.0,0.5,99.5,9.0,0.7,196.0,15.0,29.0,1277.0,0.0,2.2,97.8,0.0,17.1,429.0,37.2,1,9528.0,341.0,218.0,100.0,0.0,0.0,28.3,21.0,10.0,126.0,58.0,71.0,33.0,75.0,34.0,50.6,218.0,100.0,75.0,-0.4,143.0,-0.13,30.1,21.0,-0.29,48.0,126.0,-0.14,61.3,71.0,-0.36,0.0,0.0,0.0,50.6,218.0,-0.23,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
843,-0.03,104715.0,341,4794.0,822.0,822.0,0.0,100.0,0.0,2.0,0.2,105.0,12.8,54.0,768.0,0.0,6.6,93.4,0.0,30.7,381.0,57.9,1,47484.0,341.0,0.0,0.0,122.0,100.0,27.1,19.0,16.0,79.0,66.0,22.0,18.0,77.0,63.0,49.3,120.0,98.0,76.0,-0.2,44.0,0.25,31.7,19.0,0.13,50.1,79.0,-0.03,61.1,22.0,-0.18,49.3,120.0,-0.03,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
